"","cluster","variable","value","pos","count"
"525","3","26",0,1,""
"526","4","26",0,1,""
"527","5","26",0,1,""
"528","6","26",1,0.5,""
"529","1","86",1,0.5,""
"530","2","86",0,0,""
"531","3","86",0,0,""
"532","4","86",0,0,""
"533","5","86",0,0,""
"534","6","86",0,0,""
"535","1","49",0,1,""
"536","2","49",0,1,""
"537","3","49",0,1,""
"538","4","49",0,1,""
"539","5","49",0,1,""
"540","6","49",1,0.5,""
"541","1","58",1,0.5,""
"542","2","58",0,0,""
"543","3","58",0,0,""
"544","4","58",0,0,""
"545","5","58",0,0,""
"546","6","58",0,0,""
"547","1","10",0,1,""
"548","2","10",0,1,""
"549","3","10",0,1,""
"550","4","10",0,1,""
"551","5","10",0,1,""
"552","6","10",1,0.5,""
"553","1","73",0,1,""
"554","2","73",0,1,""
"555","3","73",0,1,""
"556","4","73",0,1,""
"557","5","73",0,1,""
"558","6","73",1,0.5,""
"559","1","93",0,1,""
"560","2","93",0,1,""
"561","3","93",0,1,""
"562","4","93",0,1,""
"563","5","93",0,1,""
"564","6","93",1,0.5,""
"565","1","21",0,1,""
"566","2","21",0,1,""
"567","3","21",0,1,""
"568","4","21",0,1,""
"569","5","21",0,1,""
"570","6","21",1,0.5,""
"571","1","34",0,1,""
"572","2","34",0,1,""
"573","3","34",0,1,""
"574","4","34",0,1,""
"575","5","34",0,1,""
"576","6","34",1,0.5,""
