"","cluster","variable","value","pos","freq","freq2"
"302","cluster_4","27",0,0,0,""
"303","cluster_4","8",0,0,0,""
"304","cluster_4","44",0,0,0,""
"305","cluster_4","19",0,0,0,""
"306","cluster_4","75",0,0,0,""
"307","cluster_4","47",0,0,0,""
"308","cluster_4","4",0.125,0.0625,0.12,"0.12"
"309","cluster_4","7",0,0.125,0,""
"310","cluster_4","6",0.125,0.1875,0.12,"0.12"
"311","cluster_4","29",0.125,0.3125,0.12,"0.12"
"312","cluster_4","92",0.125,0.4375,0.12,"0.12"
"313","cluster_4","62",0,0.5,0,""
"314","cluster_4","18",0,0.5,0,""
"315","cluster_4","60",0,0.5,0,""
"316","cluster_4","16",0.125,0.5625,0.12,"0.12"
"317","cluster_4","87",0,0.625,0,""
"318","cluster_4","82",0,0.625,0,""
"319","cluster_4","36",0,0.625,0,""
"320","cluster_4","13",0,0.625,0,""
"321","cluster_4","61",0,0.625,0,""
"322","cluster_4","3",0,0.625,0,""
"323","cluster_4","25",0.125,0.6875,0.12,"0.12"
"324","cluster_4","78",0,0.75,0,""
"325","cluster_4","69",0,0.75,0,""
"326","cluster_4","67",0,0.75,0,""
"327","cluster_4","15",0,0.75,0,""
"328","cluster_4","39",0.125,0.8125,0.12,"0.12"
"329","cluster_4","9",0,0.875,0,""
"330","cluster_4","66",0,0.875,0,""
"331","cluster_4","50",0,0.875,0,""
"332","cluster_4","91",0,0.875,0,""
"333","cluster_4","42",0,0.875,0,""
"334","cluster_4","28",0.125,0.9375,0.12,"0.12"
"335","cluster_4","89",0,1,0,""
"336","cluster_4","83",0,1,0,""
"337","cluster_4","32",0,1,0,""
"338","cluster_4","48",0,1,0,""
"339","cluster_4","40",0,1,0,""
"340","cluster_4","33",0,1,0,""
"341","cluster_4","95",0,1,0,""
"342","cluster_4","35",0,1,0,""
"343","cluster_4","55",0,1,0,""
"344","cluster_4","31",0,1,0,""
"345","cluster_4","17",0,1,0,""
"346","cluster_4","76",0,1,0,""
"347","cluster_4","14",0,1,0,""
"348","cluster_4","22",0,1,0,""
"349","cluster_4","54",0,1,0,""
"350","cluster_4","12",0,1,0,""
"351","cluster_4","90",0,1,0,""
"352","cluster_4","77",0,1,0,""
"353","cluster_4","59",0,1,0,""
"354","cluster_4","64",0,1,0,""
"355","cluster_4","5",0,1,0,""
"356","cluster_4","70",0,1,0,""
"357","cluster_4","57",0,1,0,""
"358","cluster_4","88",0,1,0,""
"359","cluster_4","80",0,1,0,""
"360","cluster_4","65",0,1,0,""
"361","cluster_4","24",0,1,0,""
"362","cluster_4","71",0,1,0,""
"363","cluster_4","41",0,1,0,""
"364","cluster_4","46",0,1,0,""
"365","cluster_4","1",0,1,0,""
"366","cluster_4","20",0,1,0,""
"367","cluster_4","45",0,1,0,""
"368","cluster_4","2",0,1,0,""
"369","cluster_4","30",0,1,0,""
"370","cluster_4","51",0,1,0,""
"371","cluster_4","94",0,1,0,""
"372","cluster_4","84",0,1,0,""
"373","cluster_4","43",0,1,0,""
"374","cluster_4","81",0,1,0,""
"375","cluster_4","96",0,1,0,""
"376","cluster_4","26",0,1,0,""
"377","cluster_4","86",0,1,0,""
"378","cluster_4","49",0,1,0,""
"379","cluster_4","58",0,1,0,""
"380","cluster_4","10",0,1,0,""
"381","cluster_4","73",0,1,0,""
"382","cluster_4","93",0,1,0,""
"383","cluster_4","21",0,1,0,""
"384","cluster_4","34",0,1,0,""
"385","cluster_5","72",0,0,0,""
"386","cluster_5","56",0,0,0,""
"387","cluster_5","74",0,0,0,""
"388","cluster_5","68",0,0,0,""
"389","cluster_5","53",0,0,0,""
"390","cluster_5","85",0,0,0,""
"391","cluster_5","37",0,0,0,""
"392","cluster_5","63",0,0,0,""
"393","cluster_5","38",0,0,0,""
"394","cluster_5","11",0,0,0,""
"395","cluster_5","23",0,0,0,""
"396","cluster_5","52",0,0,0,""
"397","cluster_5","79",0,0,0,""
"398","cluster_5","27",0,0,0,""
"399","cluster_5","8",0,0,0,""
"400","cluster_5","44",0,0,0,""
"401","cluster_5","19",0,0,0,""
"402","cluster_5","75",0,0,0,""
"403","cluster_5","47",0,0,0,""
"404","cluster_5","4",0,0,0,""
"405","cluster_5","7",0,0,0,""
"406","cluster_5","6",0,0,0,""
"407","cluster_5","29",0,0,0,""
"408","cluster_5","92",0,0,0,""
"409","cluster_5","62",0,0,0,""
"410","cluster_5","18",0.0555555555555556,0.0277777777777778,0.06,""
"411","cluster_5","60",0,0.0555555555555556,0,""
"412","cluster_5","16",0,0.0555555555555556,0,""
"413","cluster_5","87",0,0.0555555555555556,0,""
"414","cluster_5","82",0,0.0555555555555556,0,""
"415","cluster_5","36",0,0.0555555555555556,0,""
"416","cluster_5","13",0.0555555555555556,0.0833333333333333,0.06,""
"417","cluster_5","61",0,0.111111111111111,0,""
"418","cluster_5","3",0,0.111111111111111,0,""
"419","cluster_5","25",0,0.111111111111111,0,""
"420","cluster_5","78",0,0.111111111111111,0,""
"421","cluster_5","69",0.0555555555555556,0.138888888888889,0.06,""
"422","cluster_5","67",0,0.166666666666667,0,""
"423","cluster_5","15",0,0.166666666666667,0,""
"424","cluster_5","39",0,0.166666666666667,0,""
"425","cluster_5","9",0.0555555555555556,0.194444444444444,0.06,""
"426","cluster_5","66",0,0.222222222222222,0,""
"427","cluster_5","50",0,0.222222222222222,0,""
"428","cluster_5","91",0,0.222222222222222,0,""
"429","cluster_5","42",0,0.222222222222222,0,""
"430","cluster_5","28",0,0.222222222222222,0,""
"431","cluster_5","89",0,0.222222222222222,0,""
"432","cluster_5","83",0,0.222222222222222,0,""
"433","cluster_5","32",0,0.222222222222222,0,""
"434","cluster_5","48",0.0555555555555556,0.25,0.06,""
"435","cluster_5","40",0.0555555555555556,0.305555555555556,0.06,""
"436","cluster_5","33",0,0.333333333333333,0,""
"437","cluster_5","95",0.0555555555555556,0.361111111111111,0.06,""
"438","cluster_5","35",0,0.388888888888889,0,""
"439","cluster_5","55",0,0.388888888888889,0,""
"440","cluster_5","31",0,0.388888888888889,0,""
"441","cluster_5","17",0,0.388888888888889,0,""
"442","cluster_5","76",0,0.388888888888889,0,""
"443","cluster_5","14",0,0.388888888888889,0,""
"444","cluster_5","22",0,0.388888888888889,0,""
"445","cluster_5","54",0.0555555555555556,0.416666666666667,0.06,""
"446","cluster_5","12",0,0.444444444444445,0,""
"447","cluster_5","90",0,0.444444444444445,0,""
"448","cluster_5","77",0,0.444444444444445,0,""
"449","cluster_5","59",0,0.444444444444445,0,""
"450","cluster_5","64",0,0.444444444444445,0,""
"451","cluster_5","5",0,0.444444444444445,0,""
"452","cluster_5","70",0,0.444444444444445,0,""
"453","cluster_5","57",0.0555555555555556,0.472222222222222,0.06,""
"454","cluster_5","88",0.0555555555555556,0.527777777777778,0.06,""
"455","cluster_5","80",0,0.555555555555556,0,""
"456","cluster_5","65",0.0555555555555556,0.583333333333333,0.06,""
"457","cluster_5","24",0.0555555555555556,0.638888888888889,0.06,""
"458","cluster_5","71",0.0555555555555556,0.694444444444445,0.06,""
"459","cluster_5","41",0.0555555555555556,0.75,0.06,""
"460","cluster_5","46",0.0555555555555556,0.805555555555556,0.06,""
"461","cluster_5","1",0,0.833333333333334,0,""
"462","cluster_5","20",0,0.833333333333334,0,""
"463","cluster_5","45",0,0.833333333333334,0,""
"464","cluster_5","2",0,0.833333333333334,0,""
"465","cluster_5","30",0,0.833333333333334,0,""
"466","cluster_5","51",0,0.833333333333334,0,""
"467","cluster_5","94",0,0.833333333333334,0,""
"468","cluster_5","84",0,0.833333333333334,0,""
"469","cluster_5","43",0.0555555555555556,0.861111111111111,0.06,""
"470","cluster_5","81",0.0555555555555556,0.916666666666667,0.06,""
"471","cluster_5","96",0.0555555555555556,0.972222222222222,0.06,""
"472","cluster_5","26",0,1,0,""
"473","cluster_5","86",0,1,0,""
"474","cluster_5","49",0,1,0,""
"475","cluster_5","58",0,1,0,""
"476","cluster_5","10",0,1,0,""
"477","cluster_5","73",0,1,0,""
"478","cluster_5","93",0,1,0,""
"479","cluster_5","21",0,1,0,""
"480","cluster_5","34",0,1,0,""
"481","cluster_6","72",0,0,0,""
"482","cluster_6","56",0,0,0,""
"483","cluster_6","74",0,0,0,""
"484","cluster_6","68",0,0,0,""
"485","cluster_6","53",0,0,0,""
"486","cluster_6","85",0,0,0,""
"487","cluster_6","37",0,0,0,""
"488","cluster_6","63",0,0,0,""
"489","cluster_6","38",0,0,0,""
"490","cluster_6","11",0,0,0,""
"491","cluster_6","23",0,0,0,""
"492","cluster_6","52",0,0,0,""
"493","cluster_6","79",0,0,0,""
"494","cluster_6","27",0,0,0,""
"495","cluster_6","8",0,0,0,""
"496","cluster_6","44",0,0,0,""
"497","cluster_6","19",0,0,0,""
"498","cluster_6","75",0,0,0,""
"499","cluster_6","47",0,0,0,""
"500","cluster_6","4",0,0,0,""
"501","cluster_6","7",0,0,0,""
"502","cluster_6","6",0,0,0,""
"503","cluster_6","29",0,0,0,""
"504","cluster_6","92",0,0,0,""
"505","cluster_6","62",0,0,0,""
"506","cluster_6","18",0,0,0,""
"507","cluster_6","60",0,0,0,""
"508","cluster_6","16",0,0,0,""
"509","cluster_6","87",0,0,0,""
"510","cluster_6","82",0,0,0,""
"511","cluster_6","36",0,0,0,""
"512","cluster_6","13",0,0,0,""
"513","cluster_6","61",0,0,0,""
"514","cluster_6","3",0,0,0,""
"515","cluster_6","25",0,0,0,""
"516","cluster_6","78",0,0,0,""
"517","cluster_6","69",0,0,0,""
"518","cluster_6","67",0,0,0,""
"519","cluster_6","15",0,0,0,""
"520","cluster_6","39",0,0,0,""
"521","cluster_6","9",0,0,0,""
