Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S96-A62,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CTLA4,Test,999,0,Flag,0.023073164,999,999,0,,CTLA4
S96-A61,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CCR6,Test,15.55519548,1,Pass,0.023073164,82.32864084,66.53644075,0.976723337,,CCR6
S96-A72,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,VAV1,Test,16.58486708,0,Flag,0.023073164,999,85.19306919,0,,VAV1
S96-A71,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,SOCS3,Test,19.62757215,1,Pass,0.023073164,88.25005688,66.93940967,0.971141514,,SOCS3
S96-A70,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MAPK8,Test,999,0,Flag,0.023073164,999,999,0,,MAPK8
S96-A69,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IRF2,Test,14.29136542,1,Pass,0.023073164,79.15635142,66.31798817,0.970671573,,IRF2
S96-A68,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFI44L,Test,999,0,Flag,0.023073164,999,999,0,,IFI44L
S96-A67,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD44,Test,999,0,Flag,0.023073164,999,999,0,,CD44
S96-A78,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNFRSF1A,Test,16.4748748,1,Pass,0.023073164,79.98221752,999,1,,TNFRSF1A
S96-A77,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL7R,Test,999,0,Flag,0.023073164,999,999,0,,IL7R
S96-A76,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL2RA,Test,999,0,Flag,0.023073164,999,999,0,,IL2RA
S96-A75,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL10,Test,999,0,Flag,0.023073164,999,999,0,,IL10
S96-A74,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FOXP3,Test,999,0,Flag,0.023073164,999,999,0,,FOXP3
S96-A73,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD28,Test,999,0,Flag,0.023073164,999,999,0,,CD28
S96-A84,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ZAP70,Test,999,0,Flag,0.023073164,999,999,0,,ZAP70
S96-A83,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,STAT1,Test,12.9699813,1,Pass,0.023073164,81.77382765,999,1,,STAT1
S96-A82,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MX1,Test,999,0,Flag,0.023073164,999,999,0,,MX1
S96-A81,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IRF4,Test,999,0,Flag,0.023073164,999,999,0,,IRF4
S96-A80,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFIT1,Test,999,0,Flag,0.023073164,999,999,0,,IFIT1
S96-A79,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CEACAM1,Test,999,0,Flag,0.023073164,999,999,0,,CEACAM1
S96-A90,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNFRSF1B,Test,19.32916993,1,Pass,0.023073164,84.94718856,65.45928729,0.876724636,,TNFRSF1B
S96-A89,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,NFKB1,Test,13.83012958,1,Pass,0.023073164,79.1948375,85.63482782,0.955309656,,NFKB1
