Chip Run Info,F:\1363029033\ChipRun.bml,1363029033,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/8/2025 9:55:10 AM,01:44:51,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A63,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CSF1,Test,15.3569426000502,1,Pass,0.021487681662316,80.0876156333109,65.7869117317793,0.967762669383727
S96-A62,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD80,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A61,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,BMP7,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A72,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,WNT2B,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A71,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TLR4,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A70,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,SFRP1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A69,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDGFRB,Test,19.687361319141,1,Pass,0.021487681662316,77.8752565401537,85.3651117010459,0.855978888252218
S96-A68,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MMP1A,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A67,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,INS2,Test,9.98961555188815,1,Pass,0.021487681662316,86.0879088847692,65.7850172364952,0.943077684411222
S96-A78,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFNG,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A77,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GM13889,Test,17.2895522978484,1,Pass,0.021487681662316,82.849704056812,65.799216948103,0.906090590996254
S96-A76,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FCGR1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A75,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CSF1R,Test,16.5236790141604,0,Flag,0.021487681662316,999,83.5288268441199,0
S96-A74,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD83,Test,23.1522510168859,0,Flag,0.021487681662316,999,83.8624426303127,0
S96-A73,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD14,Test,15.3565721782332,1,Pass,0.021487681662316,82.6139549414476,65.7166647983261,0.920098114477795
S96-A84,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,WNT4,Test,17.8763791751099,0,Flag,0.021487681662316,999,83.7858362942916,0
S96-A83,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TLR7,Test,18.8487106631386,0,Flag,0.021487681662316,80.743563980797,66.5712219571424,0.780264354988134
S96-A82,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,SPP1,Test,22.3203363100151,0,Flag,0.021487681662316,999,82.0960157886316,0
S96-A81,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDPN,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A80,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MMP2,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A79,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ITGAX,Test,16.3813551488715,0,Flag,0.021487681662316,999,83.4441515133707,0
S96-A90,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IGF1,Test,21.3388728046549,0,Flag,0.021487681662316,999,75.3382435824304,0
S96-A89,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,H2-AA,Test,13.6605082170679,1,Pass,0.021487681662316,83.7005098338541,65.4623867687219,0.927273709497596
S96-A88,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FGFR1,Test,15.0054291224596,0,Flag,0.021487681662316,79.2179577264948,86.6485083589493,0.707183824460866
S96-A87,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CSF2RA,Test,18.3808299497515,0,Flag,0.021487681662316,999,88.1882999526155,0
S96-A86,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD86,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A85,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD24A,Test,11.4192305678773,1,Pass,0.021487681662316,88.8916868435823,65.6872398062217,0.884040377169406
S96-A96,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ZAP70,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A95,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TLR9,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A94,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,SST,Test,4.027247860373,0,Flag,0.021487681662316,999,83.8451449078724,0
S96-A93,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PECAM1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A92,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MMP3,Test,23.0706826964509,1,Pass,0.021487681662316,76.6731863950423,999,1
S96-A91,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ITGB1,Test,13.5056242989219,1,Pass,0.021487681662316,81.8952164877197,65.6009332347696,0.942070060183132
S06-A01,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ACTA2,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A02,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD36,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A03,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD8A,Test,22.2508863192077,0,Flag,0.021487681662316,999,75.0488461625803,0
S06-A04,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CSF2RB,Test,15.8585986449221,0,Flag,0.021487681662316,999,84.6771882734042,0
S06-A05,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,FGFR3,Test,16.9447011782585,0,Flag,0.021487681662316,999,85.8637437226911,0
